CustomerID,City,State,Borough,ZipCode,Latitude,Longitude,MedianIncome,PopulationDensity,RegistrationDate,Gender,SeniorCitizen,Partner,Dependents,Tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,ChargesMonthly,Churn,CustomerValueRatio,PriceIncomePercent,PhoneService_Binary,MultipleLines_Binary,OnlineSecurity_Binary,OnlineBackup_Binary,DeviceProtection_Binary,TechSupport_Binary,StreamingTV_Binary,StreamingMovies_Binary,ServicesCount,EngagementScore,EstimatedLTV,AvgMonthlyValue,TenureGroup,PriceSegment,HighRisk_ContractTenure,MediumRisk_ContractTenure,IncomePriceMismatch,HighRiskSegment,Log_ChargesMonthly,Log_EstimatedLTV,Log_Tenure,Sqrt_Tenure,Sqrt_ServicesCount,Churn_Binary
0002-ORFBO,New York,NY,STATEN ISLAND,10310,40.645192676271066,-74.10820561334204,82200,8618,2023-11-30,Female,0,Yes,Yes,9,Yes,No,DSL,No,Yes,No,Yes,Yes,No,One year,Yes,Mailed check,65.6,No,0.009576642335766423,0.9576642335766423,1,0,0,1,0,1,1,0,4,0.5405405405405406,590.4,59.04,0-12_months,Standard,0,0,0,0,4.198704577546343,6.382492607418377,2.302585092994046,3.0,2.0,0
0003-MKNFE,New York,NY,BRONX,10467,40.87671687372561,-73.8802621227146,40500,34920,2021-08-05,Male,0,No,No,9,Yes,Yes,DSL,No,No,No,No,No,Yes,Month-to-month,No,Mailed check,59.9,No,0.01774814814814815,1.7748148148148148,1,1,0,0,0,0,0,1,3,0.4433497536945813,539.1,53.910000000000004,0-12_months,Standard,0,1,0,1,4.109233174715851,6.291754307598845,2.302585092994046,3.0,1.7320508075688772,0
0004-TLHLJ,New York,NY,QUEENS,11105,40.77193918151172,-73.90944523907211,69300,21460,2021-11-25,Male,0,No,No,4,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,73.9,Yes,0.012796536796536797,1.2796536796536797,1,0,0,0,1,0,0,0,2,0.10680907877169558,295.6,59.120000000000005,0-12_months,Premium,1,0,0,0,4.316153890523174,5.692384429703832,1.6094379124341003,2.0,1.4142135623730951,1
0011-IGKFF,New York,NY,BROOKLYN,11205,40.68959042924661,-73.9725916373827,62800,37137,2024-10-03,Male,1,Yes,No,13,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,98.0,Yes,0.01872611464968153,1.872611464968153,1,0,0,1,1,0,1,1,5,0.6565656565656566,1274.0,91.0,12-24_months,Enterprise,0,0,0,0,4.59511985013459,7.150701457592526,2.6390573296152584,3.605551275463989,2.23606797749979,1
0013-EXCHZ,New York,NY,BRONX,10455,40.812533530739486,-73.90573049064503,40500,34920,2024-12-13,Female,1,Yes,No,3,Yes,No,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,Yes,Mailed check,83.9,Yes,0.02485925925925926,2.485925925925926,1,0,0,0,0,1,1,0,3,0.10600706713780918,251.70000000000002,62.925000000000004,0-12_months,Premium,1,0,1,1,4.441474093317302,5.532203014394149,1.3862943611198906,1.7320508075688772,1.7320508075688772,1
0013-MHZWF,New York,NY,MANHATTAN,10040,40.86083105824889,-73.92681442000556,86553,74781,2024-03-29,Female,0,No,Yes,9,Yes,No,DSL,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),69.4,No,0.009621850195833767,0.9621850195833768,1,0,0,0,0,1,1,1,4,0.5113636363636364,624.6,62.46,0-12_months,Standard,0,1,0,0,4.254193263163997,6.4387111892311015,2.302585092994046,3.0,2.0,0
0013-SMEOE,New York,NY,MANHATTAN,10033,40.85132124535383,-73.93225771416616,86553,74781,2021-11-23,Female,1,Yes,No,71,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),109.7,No,0.01520917819139718,1.520917819139718,1,0,1,1,1,1,1,1,7,4.489611562782295,7788.7,108.17638888888888,48+_months,Enterprise,0,0,0,0,4.706823839714591,8.960557627211806,4.276666119016055,8.426149773176359,2.6457513110645907,0
0014-BMAQU,New York,NY,BROOKLYN,11217,40.68567632341359,-73.98842577574975,62800,37137,2020-03-20,Male,0,Yes,No,63,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,No,Two year,Yes,Credit card (automatic),84.65,No,0.01617515923566879,1.6175159235668792,1,1,1,0,0,1,0,0,4,2.942206654991243,5332.950000000001,83.32734375000001,48+_months,Premium,0,0,0,0,4.450269224770129,8.581847330869754,4.1588830833596715,7.937253933193772,2.0,0
0015-UOCOJ,New York,NY,QUEENS,11368,40.74099878113499,-73.86562746466261,69300,21460,2024-08-26,Female,1,No,No,7,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,48.2,No,0.008346320346320346,0.8346320346320346,1,0,1,0,0,0,0,0,2,0.2845528455284553,337.40000000000003,42.175000000000004,0-12_months,Standard,0,1,0,0,3.8958936234982624,5.824228627732069,2.0794415416798357,2.6457513110645907,1.4142135623730951,0
0016-QLJIS,New York,NY,QUEENS,11101,40.7579238447464,-73.93731227650946,69300,21460,2025-07-18,Female,0,Yes,Yes,65,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Mailed check,90.45,No,0.015662337662337662,1.5662337662337662,1,1,1,1,1,1,1,1,8,5.686167304537999,5879.25,89.07954545454545,48+_months,Enterprise,0,0,0,0,4.515792374836875,8.679354556995653,4.189654742026425,8.06225774829855,2.8284271247461903,0
